"","s1","genes"
"NDUFAF2",0.11498764021201,"NDUFAF2"
"NDUFS4",0.157158952762474,"NDUFS4"
"ACSL6",0.895427983487085,"ACSL6"
"LEAP2",0.949188625794732,"LEAP2"
"KIF6",1.1827316489961,"KIF6"
"SLC29A4",0.251429232487633,"SLC29A4"
"OXR1",0.608660344901454,"OXR1"
"SLC25A32",0.64999861349758,"SLC25A32"
"MID1IP1",-0.0186588087421741,"MID1IP1"
"EML5",0.225326909627002,"EML5"
"QSOX2",0.647673262298449,"QSOX2"
"BLCAP",-0.334822498702676,"BLCAP"
"MESP1",0.960610150193663,"MESP1"
"TAC3",0.979128844526887,"TAC3"
"AKTIP",1.29327129507698,"AKTIP"
"TEF",0.26147119124292,"TEF"
"PBX3",-0.0879425717511518,"PBX3"
"RNF214",-0.062575911649165,"RNF214"
"MVD",-0.414666468626926,"MVD"
"DDB1",-0.169634054989554,"DDB1"
"VWCE",1.36401019316345,"VWCE"
"SF1",0.382954392699084,"SF1"
"ATXN2L",-0.113329844749369,"ATXN2L"
"ANKRD49",0.109605413909771,"ANKRD49"
"STXBP6",0.366895034496461,"STXBP6"
"MFF",0.47581547810102,"MFF"
"CPLX1",0.377741252992942,"CPLX1"
"ATF5",0.791010381192563,"ATF5"
"GSG1L",0.531451289375963,"GSG1L"
"TAPT1",0.304677456433543,"TAPT1"
"GPR37",-0.340327978728574,"GPR37"
"CEL",2.23814154196083,"CEL"
"TRIM8",-0.902226221534868,"TRIM8"
"TPPP",-0.00551623393549388,"TPPP"
"LRRC8D",0.232767826819634,"LRRC8D"
"ETFDH",1.79418092863244,"ETFDH"
"SPSB1",-0.425984054828535,"SPSB1"
"ANO5",0.119147196854843,"ANO5"
"SCG2",0.502557282787547,"SCG2"
"ATPAF2",-0.0119624450782012,"ATPAF2"
"SMPDL3A",0.270424421528491,"SMPDL3A"
"LRRC20",0.0609022733142613,"LRRC20"
"EGFL7",0.0282079950419149,"EGFL7"
