"","coefficient","gene"
"NPAT",0.589182802927312,"NPAT"
"HMGA2",-0.233931847682118,"HMGA2"
"HNMT",0.00656846581507136,"HNMT"
"PIH1D2",-0.738125231163887,"PIH1D2"
"SLC7A11",0.0870051391573325,"SLC7A11"
"GPR158",0.0145192493796147,"GPR158"
"BEND6",1.0168651414546,"BEND6"
"PSTPIP2",-1.67386886391327,"PSTPIP2"
"PDK1",-0.0703698283412565,"PDK1"
"SPARCL1",0.196614539463714,"SPARCL1"
"PTPRR",0.777668418765077,"PTPRR"
"LGI4",0.702575566379368,"LGI4"
"TRIM11",0.509783408788615,"TRIM11"
"CYP2U1",2.07826004122221,"CYP2U1"
"SLC25A28",0.146410181820571,"SLC25A28"
"HEATR3",0.85058722239762,"HEATR3"
"FZD7",-0.0965393527141936,"FZD7"
"ELMO1",0.0258253196502351,"ELMO1"
"CLIC2",0.856243199486941,"CLIC2"
"ADAMTS3",-0.676918594065448,"ADAMTS3"
"WHAMM",-0.259540863696985,"WHAMM"
"TSPAN7",0.332288325019068,"TSPAN7"
"FGF18",-0.540751840734342,"FGF18"
"RAB11FIP1",-0.909493979179539,"RAB11FIP1"
"SSBP3",-0.14384606259678,"SSBP3"
"LDLRAP1",1.13795639757543,"LDLRAP1"
"NCK1",0.68717833439874,"NCK1"
"ABHD3",-0.0820334258751656,"ABHD3"
"SHROOM4",0.0370316474010383,"SHROOM4"
"RIBC1",-0.688923836755313,"RIBC1"
"NRG2",0.210281077480108,"NRG2"
"ELK4",0.0833770452130864,"ELK4"
"RCAN1",-0.295540030301858,"RCAN1"
"IGF2BP1",-1.08434323330061,"IGF2BP1"
"SCUBE1",-0.566627703513063,"SCUBE1"
"TMEM69",-0.427830577109342,"TMEM69"
"C16orf86",-0.408661047910163,"C16orf86"
"CPAMD8",-0.770971016199185,"CPAMD8"
"LRRC3",-1.20092207709528,"LRRC3"
"RDH13",0.0553763865425325,"RDH13"
"PCSK7",0.789030355052771,"PCSK7"
"NLRX1",-1.15447508551185,"NLRX1"
"JMJD8",-0.534384865704316,"JMJD8"
"GNG3",0.00258260932437441,"GNG3"
"DIRAS3",-0.358622365406677,"DIRAS3"
"MYSM1",0.0592033632709454,"MYSM1"
"DUSP19",0.435079456381547,"DUSP19"
"VSNL1",0.0317803703873383,"VSNL1"
"PAQR3",-1.01680085709488,"PAQR3"
"CGGBP1",-0.058390221737975,"CGGBP1"
"GPR155",0.111390376314489,"GPR155"
"HIPK1",0.211846782980384,"HIPK1"
"NEK10",0.438438257096971,"NEK10"
"FBLN2",1.56886475973584,"FBLN2"
"ABHD6",0.345196698809742,"ABHD6"
"SNRK",0.0521583185731599,"SNRK"
"TPRA1",0.0838855067372405,"TPRA1"
"PRSS12",0.176019220529118,"PRSS12"
"ANAPC10",0.103664087846757,"ANAPC10"
"NDUFAF2",0.164989928356385,"NDUFAF2"
"F2RL1",0.587905019453145,"F2RL1"
"NDUFS4",0.0395144009564053,"NDUFS4"
"SERINC5",0.0278040863455148,"SERINC5"
"ACSL6",0.588197893152086,"ACSL6"
"LEAP2",0.916660144565831,"LEAP2"
"STK17A",-0.34519383326493,"STK17A"
"KIF6",0.637819691683012,"KIF6"
"SLC29A4",0.360685657511843,"SLC29A4"
"OXR1",0.378173438139399,"OXR1"
"SLC25A32",0.391320688189731,"SLC25A32"
"EML5",0.0609867220535934,"EML5"
"RPUSD4",-0.134699731683279,"RPUSD4"
"QSOX2",0.829162630003092,"QSOX2"
"BLCAP",-0.33196723933714,"BLCAP"
"MESP1",0.755274689785485,"MESP1"
"TAC3",0.586904186133948,"TAC3"
"AKTIP",1.899216613391,"AKTIP"
"TEF",0.221356521739619,"TEF"
"MVD",-0.401869783398894,"MVD"
"DDB1",-0.115488030125534,"DDB1"
"VWCE",1.42596681283598,"VWCE"
"SF1",0.373171208077033,"SF1"
"STIP1",-0.0629207551843146,"STIP1"
"STXBP6",0.532091570142079,"STXBP6"
"MFF",0.24758298658032,"MFF"
"CPLX1",0.229044930568006,"CPLX1"
"ATF5",0.126910447940955,"ATF5"
"GSG1L",0.788724342720871,"GSG1L"
"BOLA2B",-0.521444864076394,"BOLA2B"
"TAPT1",0.470996859304344,"TAPT1"
"ZNF212",-0.0523451322571527,"ZNF212"
"GPR37",-0.834441265268911,"GPR37"
"CEL",2.29108256937653,"CEL"
"C11orf24",1.04532239484292,"C11orf24"
"TRIM8",-0.586098526457017,"TRIM8"
"LRRC8D",0.151101959870069,"LRRC8D"
"ETFDH",1.93053504242013,"ETFDH"
"SPSB1",-0.226313149559728,"SPSB1"
"ZIK1",0.00315628561224098,"ZIK1"
"SCG2",0.373741713316967,"SCG2"
"ZNF57",1.03333984579949,"ZNF57"
"SMPDL3A",0.381328227208899,"SMPDL3A"
"LRRC20",0.0361379952815609,"LRRC20"
"ZNF621",0.0450603905257139,"ZNF621"
"EGFL7",0.000249293735922866,"EGFL7"
"GLRX",-0.0527846137339713,"GLRX"
"TMEM167A",-0.278725624314672,"TMEM167A"
"NR1D2",0.78329055109444,"NR1D2"
"TRAF6",0.11016794967144,"TRAF6"
"ZDHHC21",0.0100493713955939,"ZDHHC21"
"RNPEP",-0.118395231416969,"RNPEP"
"ZNF843",2.1691897219702,"ZNF843"
"WSB2",0.15035740946325,"WSB2"
"SEC24C",-0.0163626363372279,"SEC24C"
"ST8SIA3",0.651330351784273,"ST8SIA3"
"RPRM",0.301084916286281,"RPRM"
"PNPLA2",0.0528052658476424,"PNPLA2"
"PDE4DIP",0.0339515727224285,"PDE4DIP"
"TMEM151B",0.0413332800023949,"TMEM151B"
"SLC25A20",-0.00751383692571151,"SLC25A20"
"AKAP5",1.17430140974627,"AKAP5"
"SEPHS2",-0.356208893908661,"SEPHS2"
"TDRD6",0.00944078679332383,"TDRD6"
"LYNX1",0.884900047576888,"LYNX1"
"ZNF594",0.20212005231097,"ZNF594"
"CAPS2",0.498349115226919,"CAPS2"
"TRAPPC5",-0.0111930366064083,"TRAPPC5"
"PENK",0.215574623875095,"PENK"
"PLAG1",-0.645925537376281,"PLAG1"
"ZBTB20",0.0954281631895668,"ZBTB20"
"TMEM259",-0.130015738774731,"TMEM259"
"TSHZ2",-0.360073613044107,"TSHZ2"
"GLRX5",-0.0531496346225156,"GLRX5"
"IGIP",2.2566386797572,"IGIP"
"TSKU",-1.48751093843689,"TSKU"
"GTF2H2C",-0.571199079166648,"GTF2H2C"
"ZDHHC23",0.57795649923811,"ZDHHC23"
"EFNA5",-0.18289809671709,"EFNA5"
"PLA2G6",-1.55217199165353,"PLA2G6"
"POU3F2",0.484031746490666,"POU3F2"
"BEX5",0.0703471631321369,"BEX5"
"ZFP1",-0.379493855794895,"ZFP1"
"SOCS3",-0.396857583354048,"SOCS3"
"F8",0.284846112104969,"F8"
"PURA",2.61303575608813,"PURA"
"RAD51D",0.723047819305744,"RAD51D"
"ZBTB3",-0.477308544914365,"ZBTB3"
"THNSL1",-0.0228207223404703,"THNSL1"
"RNPC3",0.277118541809386,"RNPC3"
"THBS2",0.551550651867318,"THBS2"
"GNG2",-0.344143060722465,"GNG2"
"RGS7BP",0.270280625603181,"RGS7BP"
"PDE2A",0.8334780825455,"PDE2A"
"MT1X",-0.581099960493456,"MT1X"
"ZNF490",-0.00747896743443442,"ZNF490"
"GTF2F2",-0.275753913123221,"GTF2F2"
"IER5L",-0.637668665869864,"IER5L"
"SPRED3",-1.77011739244036,"SPRED3"
"ADAT2",0.595547540010738,"ADAT2"
"MAOA",0.0781295997487735,"MAOA"
"RRP7A",-0.00833665285321546,"RRP7A"
"AKR1C3",2.4643210089865,"AKR1C3"
"CACNA1H",-2.01283544448489,"CACNA1H"
"TCF4",0.0316974284059648,"TCF4"
"HRH1",-0.218100293627455,"HRH1"
"LRRC8B",0.346012698378836,"LRRC8B"
"VEPH1",-0.00113302046581651,"VEPH1"
"ZNF624",-0.878089257167329,"ZNF624"
"SIRPA",0.0834822759502222,"SIRPA"
"TFDP1",-0.400997838876283,"TFDP1"
"HSD17B11",0.7137800395874,"HSD17B11"
"ASPH",0.232479930242507,"ASPH"
"ZNF534",-4.45013976969917,"ZNF534"
"COLGALT2",0.753312521312236,"COLGALT2"
"BRINP2",0.920256766908327,"BRINP2"
"OSTC",-0.270547250191613,"OSTC"
"INF2",0.563263381257846,"INF2"
"TCEAL6",0.149118250790335,"TCEAL6"
"AKT1S1",0.204624046040863,"AKT1S1"
"SLC35B4",0.194895027196719,"SLC35B4"
"SYCE1L",-0.0258395797679231,"SYCE1L"
"TMEM200C",0.737335022868356,"TMEM200C"
"DIO2",0.113239460256551,"DIO2"
"ZNF580",0.012600695518249,"ZNF580"
"C1orf220",0.00416268914730634,"C1orf220"
"NRAS",-0.30174720921771,"NRAS"
"NCKIPSD",0.397378332271104,"NCKIPSD"
"SLC35F6",0.393127910482306,"SLC35F6"
"ZNF90",0.742668186507966,"ZNF90"
"NEURL1B",0.0294574936916342,"NEURL1B"
"STARD10",1.1423425633104,"STARD10"
"EML6",0.156155435218754,"EML6"
"RNASEK",-0.0251287790280932,"RNASEK"
"ZGLP1",-0.64808387245593,"ZGLP1"
