"","s1","genes"
"MVB12A",-0.202018361121916,"MVB12A"
"ZNF473",-0.293279358208965,"ZNF473"
"PGD",-0.630292821509054,"PGD"
"POGK",0.649297878282184,"POGK"
"CGN",-0.323682305286521,"CGN"
"OAZ3",-0.849828730535485,"OAZ3"
"VASH2",-0.0313818182552229,"VASH2"
"SMYD2",0.937283879300814,"SMYD2"
"ADAM15",0.23395402800125,"ADAM15"
"CDC42BPA",0.0648704442099692,"CDC42BPA"
"SYT2",-0.0358223054782524,"SYT2"
"MEIS1",-0.475615974622165,"MEIS1"
"COL8A1",1.36595904716948,"COL8A1"
"PHLDB2",0.0836407630271724,"PHLDB2"
"ANK2",0.406393738545771,"ANK2"
"SETD7",0.209107555633503,"SETD7"
"CXCL14",1.62830479245282,"CXCL14"
"CPLX2",0.354389817004008,"CPLX2"
"RNF44",-0.672855181530293,"RNF44"
"ABRACL",-0.625873071436658,"ABRACL"
"C7orf50",-0.286744672518407,"C7orf50"
"PURB",0.788739381812221,"PURB"
"NFIB",0.569465637341159,"NFIB"
"WDR31",-0.262865941482747,"WDR31"
"NPAT",0.25443140064035,"NPAT"
"HMGA2",-1.89878356438013,"HMGA2"
"MPP7",-0.249888327718646,"MPP7"
"GPM6A",0.919940481338076,"GPM6A"
"PIH1D2",-0.0568014216868885,"PIH1D2"
"VIPAS39",0.536795684280564,"VIPAS39"
"TEX9",-0.134592198990964,"TEX9"
"CCDC122",-0.10478548134457,"CCDC122"
"PSTPIP2",-0.638487364203899,"PSTPIP2"
"POC5",0.0351313877880982,"POC5"
"SPARCL1",0.391029766572411,"SPARCL1"
"PRDM8",-0.500711214571806,"PRDM8"
"HNRNPDL",1.6925472630634,"HNRNPDL"
"SREK1IP1",-0.185741984038098,"SREK1IP1"
"CARHSP1",-0.0386780027417426,"CARHSP1"
"HNRNPU",-0.452811887646043,"HNRNPU"
"PID1",0.163627362398828,"PID1"
"LGI4",0.39925585311573,"LGI4"
"THY1",0.164930603219489,"THY1"
"C16orf74",-0.0654057577865086,"C16orf74"
"TRIM11",0.0777264778073876,"TRIM11"
"L3MBTL4",0.086717110154559,"L3MBTL4"
"MRPL39",-0.329423470036895,"MRPL39"
"JAM2",0.0836495735541989,"JAM2"
"CYP2U1",0.493747627149888,"CYP2U1"
"SLC25A28",0.239855874495371,"SLC25A28"
"HEATR3",0.276276858403237,"HEATR3"
"ZKSCAN2",-0.382341090531578,"ZKSCAN2"
"RBM45",0.529158255028351,"RBM45"
"ADAMTS3",-0.481435378290406,"ADAMTS3"
"NDUFAF6",0.277237954289243,"NDUFAF6"
"TSPAN7",0.752373579822217,"TSPAN7"
"FGF18",-0.208442301766731,"FGF18"
"EXOG",0.00286246230956113,"EXOG"
"ATP2B2",0.137193660634391,"ATP2B2"
"TSPAN18",-0.293486043769652,"TSPAN18"
"TMSB15A",-0.57508348131199,"TMSB15A"
"ABHD3",-0.13752053830464,"ABHD3"
"RIBC1",-0.668512004350069,"RIBC1"
"TOMM40L",0.22400151450509,"TOMM40L"
"SNF8",-0.0789107886246721,"SNF8"
"IGF2BP1",-2.0829613377885,"IGF2BP1"
"SCUBE1",-0.860315876945219,"SCUBE1"
"NPR2",-0.212660927298918,"NPR2"
"CPAMD8",-0.606456136045976,"CPAMD8"
"NLRX1",-0.0999333845159794,"NLRX1"
"RAVER1",-0.0198733299849967,"RAVER1"
"CYB561A3",-0.100934005812276,"CYB561A3"
"MAGOH",-0.0511945058110703,"MAGOH"
"DIRAS3",-0.546009335522616,"DIRAS3"
"MYSM1",0.124352594006317,"MYSM1"
"PKDCC",-0.282836206509758,"PKDCC"
"DPY30",-0.146025644314327,"DPY30"
"DUSP19",0.431082665524023,"DUSP19"
"PAQR3",-0.37423151553282,"PAQR3"
"ANTXR2",-0.132758735012905,"ANTXR2"
"ATP1A1",0.0958947175213642,"ATP1A1"
"EFHB",-0.483484972664083,"EFHB"
"CDS1",0.0500494908621795,"CDS1"
"SMIM14",0.0106403179896328,"SMIM14"
"ABHD6",0.0519547365949142,"ABHD6"
"GRIK3",-0.111964385868709,"GRIK3"
"SLC25A46",0.40713064412862,"SLC25A46"
"KIF6",0.422899782179815,"KIF6"
"ZNF12",-0.528756330223562,"ZNF12"
"SLC29A4",0.0880081292333639,"SLC29A4"
"ZNF704",0.28470164213531,"ZNF704"
"COL1A2",0.274081502915084,"COL1A2"
"SLC25A32",0.351008895711501,"SLC25A32"
"NUDT2",-0.0927773033015606,"NUDT2"
"QSOX2",0.0843305440829831,"QSOX2"
"COPS2",-0.128637500590491,"COPS2"
"XRRA1",0.590684907213743,"XRRA1"
"RIMKLB",0.198816603355256,"RIMKLB"
"MESP1",0.105078098605412,"MESP1"
"TAC3",0.0342266170892884,"TAC3"
"AKTIP",0.430704056807907,"AKTIP"
"PBX3",-0.790181050953324,"PBX3"
"MVD",-0.947098696744138,"MVD"
"TUBA1A",-0.0635055156893198,"TUBA1A"
"DAPK3",-0.248868649662577,"DAPK3"
"ZNF558",-0.616967615789699,"ZNF558"
"NDUFV1",0.144703490438509,"NDUFV1"
"VWCE",0.177386785470825,"VWCE"
"FNTA",-0.0858698621728243,"FNTA"
"SEMA4C",0.180355953442274,"SEMA4C"
"ATOH8",0.140203484913155,"ATOH8"
"STXBP6",0.00307231620368959,"STXBP6"
"CPLX1",0.971902189901669,"CPLX1"
"BRD3",-0.0349129348722366,"BRD3"
"TMEM192",0.0346557048287134,"TMEM192"
"SEMA3E",-0.0304667834708202,"SEMA3E"
"GPR37",-0.364895336771522,"GPR37"
"ATP6V0E2",0.808928179331239,"ATP6V0E2"
"RBKS",-0.147622308915956,"RBKS"
"ETFDH",1.38163291784159,"ETFDH"
"SPSB1",-0.204441173541687,"SPSB1"
"SCG2",0.387281410710629,"SCG2"
"EPHX4",0.278548603179017,"EPHX4"
"C2CD2L",0.337826964871269,"C2CD2L"
"TMEM217",-0.244515500188457,"TMEM217"
"ZNF621",0.555659407191027,"ZNF621"
"IQCB1",0.272090918113266,"IQCB1"
"LRFN4",0.00242901939791246,"LRFN4"
"PSMD1",0.247285095430843,"PSMD1"
"CEP19",-0.0560638815316349,"CEP19"
"NR1D2",0.469017828105467,"NR1D2"
"POLD4",-0.225553534610114,"POLD4"
"SWI5",-0.0237328118479086,"SWI5"
"ZNF843",0.00035726624049441,"ZNF843"
"SOX11",-0.894952052182782,"SOX11"
"ST8SIA3",0.242066953746339,"ST8SIA3"
"CD151",0.0245935845465723,"CD151"
"RPP25",-0.000291400589627999,"RPP25"
"LINC00324",-0.00243214250653933,"LINC00324"
"SHARPIN",-0.225065248131609,"SHARPIN"
"CITED4",-0.064465508740412,"CITED4"
"PDXDC1",0.235339330212687,"PDXDC1"
"LYNX1",0.0501412299093219,"LYNX1"
"RNF182",-0.845163319293219,"RNF182"
"TMEM64",-0.153458904788491,"TMEM64"
"PSMG4",-0.00517981862375116,"PSMG4"
"FKRP",-0.066233330024172,"FKRP"
"PENK",0.473635007693079,"PENK"
"MEX3D",-0.0940372258518141,"MEX3D"
"PLAG1",-0.4229689163925,"PLAG1"
"GINS3",0.393444755967003,"GINS3"
"TSHZ2",-0.422931547381677,"TSHZ2"
"SKA2",-1.85402441641,"SKA2"
"IGIP",0.790383308759604,"IGIP"
"TSKU",-0.829550307447782,"TSKU"
"C12orf60",-0.254978164137196,"C12orf60"
"TOB2",0.0801052612311443,"TOB2"
"CLDN5",0.224752748843997,"CLDN5"
"IRAK1",-0.00598559488178362,"IRAK1"
"CSF1",-0.060737776003575,"CSF1"
"PLA2G6",-0.468490818519956,"PLA2G6"
"POU3F2",0.47524394967053,"POU3F2"
"SOCS3",-0.303825323608886,"SOCS3"
"PURA",1.51579855679282,"PURA"
"CDNF",-0.131074213666117,"CDNF"
"NR2F2",-0.0303415004689392,"NR2F2"
"ZBTB3",-0.131136006974296,"ZBTB3"
"PCYT2",-0.0852379183679014,"PCYT2"
"RNPC3",0.334845144504623,"RNPC3"
"LEMD1",-0.133622047458937,"LEMD1"
"BACE1",0.0780339193825495,"BACE1"
"GNG2",-1.55530187073716,"GNG2"
"INSIG1",-0.125501769610528,"INSIG1"
"PDE2A",0.689508070607513,"PDE2A"
"EMID1",0.0120701842804122,"EMID1"
"MT1X",-0.0308634795108254,"MT1X"
"IER5L",-0.468338521013219,"IER5L"
"SPRED3",-1.0777616175525,"SPRED3"
"MTF1",0.222266151416034,"MTF1"
"TMEM201",-0.180645057285753,"TMEM201"
"ADAT2",0.812361415877393,"ADAT2"
"SEMA4A",-0.406796845193501,"SEMA4A"
"SULT1A1",0.191164243090182,"SULT1A1"
"CACNA1H",-1.59305496665517,"CACNA1H"
"ZNF33B",-0.556691963053245,"ZNF33B"
"LAMB3",-0.193430148902928,"LAMB3"
"METTL9",-0.533552431508535,"METTL9"
"DACT3",0.0446226418910196,"DACT3"
"VEPH1",-0.339326957007063,"VEPH1"
"ZNF665",0.198108109728959,"ZNF665"
"ZNF624",-0.637767076784815,"ZNF624"
"ENTPD6",0.164291373951737,"ENTPD6"
"ENTPD7",-0.318735170537638,"ENTPD7"
"TFDP1",-0.615764487398457,"TFDP1"
"ASPH",0.333628587731318,"ASPH"
"ZNF808",0.141438458810224,"ZNF808"
"ZNF534",-0.151719540556357,"ZNF534"
"COLGALT2",0.345913056312947,"COLGALT2"
"BRINP2",0.705709379100061,"BRINP2"
"INF2",0.0759031605853567,"INF2"
"SYCE1L",-0.069984123795399,"SYCE1L"
"TMEM200C",0.162714202163215,"TMEM200C"
"ZNF90",0.12681691446383,"ZNF90"
"NEURL1B",0.124468160853472,"NEURL1B"
"SEC14L6",-0.169466472186485,"SEC14L6"
"COL28A1",-0.317683442544829,"COL28A1"
"ZGLP1",-0.864216690673599,"ZGLP1"
